id,english,romanized,thai,literal,note
shopping_001,buy,súeue,ซื้อ,"'buy'","Basic transaction verb"
shopping_002,sell,khǎai,ขาย,"'sell'","Used by shops/vendors"
shopping_003,pay,jàai ngeen,จ่ายเงิน,"'pay' 'money'","Common way to say pay"
shopping_004,money,ngeen,เงิน,"'money'","General term"
shopping_005,price,raa-khaa,ราคา,"'price'","Used when asking cost"
shopping_006,how much,thâo-rài,เท่าไร,"'how much'","Used everywhere"
shopping_007,cheap,thùuk,ถูก,"'cheap / correct'","Also means correct"
shopping_008,expensive,phaeng,แพง,"'expensive'","Opposite of cheap"
shopping_009,discount,lót raa-khaa,ลดราคา,"'reduce' 'price'","Means discount"
shopping_010,can you discount,lót dâi mái,ลดได้ไหม,"'reduce' 'can' 'question'","Useful for markets"
shopping_011,receipt,bai set,ใบเสร็จ,"'document' 'finished'","Used for receipts"
shopping_012,change (money),ngeen thawn,เงินทอน,"'money' 'return'","Change you receive"
shopping_013,do you have...,mii ... mái,มี ... ไหม,"'have' '...' 'question'","Very useful pattern"
shopping_014,do you have this,mii an níi mái,มีอันนี้ไหม,"'have' 'thing' 'this' 'question'","Used while pointing"
shopping_015,i want to buy,chǎn yàak súeue,ฉันอยากซื้อ,"'I' 'want' 'buy'","Polite but natural"
shopping_016,i don’t want to buy,mâi súeue,ไม่ซื้อ,"'not' 'buy'","Simple refusal"
shopping_017,just looking,doo gàwn,ดูก่อน,"'look' 'first'","Used to avoid pressure"
shopping_018,too expensive,phaeng pai,แพงไป,"'expensive' 'too much'","Common phrase"
shopping_019,okay / that’s fine,ok / dâai,โอเค / ได้,"'ok' / 'can / fine'","dâai often means acceptable"
shopping_020,card,bàt,บัตร,"'card'","General card word"
shopping_021,credit card,bàt khraet-dit,บัตรเครดิต,"'card' 'credit'","Loanword"
shopping_022,cash,ngeen sot,เงินสด,"'money' 'fresh'","Cash payment"
shopping_023,pay by card,jàai bàt dâai mái,จ่ายบัตรได้ไหม,"'pay' 'card' 'can' 'question'","Ask before paying"
shopping_024,pay cash,jàai ngeen sot,จ่ายเงินสด,"'pay' 'cash'","Specify payment type"
shopping_025,bag,thǔng,ถุง,"'bag'","Shopping bag"
shopping_026,do you want a bag,ao thǔng mái,เอาถุงไหม,"'take' 'bag' 'question'","Common cashier question"
shopping_027,i don’t want a bag,mâi ao thǔng,ไม่เอาถุง,"'not' 'take' 'bag'","Useful response"
