id,english,romanized,thai,literal,note,audio
numbers_001,zero,suun,ศูนย์,'zero',"Used for phone numbers, formal contexts",[sound:numbers_001.mp3]
numbers_002,one,nùeng,หนึ่ง,'one',Basic number,[sound:numbers_002.mp3]
numbers_003,two,sɔ̌ɔng,สอง,'two',Basic number,[sound:numbers_003.mp3]
numbers_004,three,sǎam,สาม,'three',Basic number,[sound:numbers_004.mp3]
numbers_005,four,sìi,สี่,'four',Basic number,[sound:numbers_005.mp3]
numbers_006,five,hâa,ห้า,'five',Basic number,[sound:numbers_006.mp3]
numbers_007,six,hòk,หก,'six',Basic number,[sound:numbers_007.mp3]
numbers_008,seven,jèt,เจ็ด,'seven',Basic number,[sound:numbers_008.mp3]
numbers_009,eight,pàaet,แปด,'eight',Basic number,[sound:numbers_009.mp3]
numbers_010,nine,gâao,เก้า,'nine',Basic number,[sound:numbers_010.mp3]
numbers_011,ten,sìp,สิบ,'ten',Base for larger numbers,[sound:numbers_011.mp3]
numbers_012,eleven,sìp èt,สิบเอ็ด,'ten' 'one',Structure: 10 + 1,[sound:numbers_012.mp3]
numbers_013,twelve,sìp sɔ̌ɔng,สิบสอง,'ten' 'two',10 + 2 pattern,[sound:numbers_013.mp3]
numbers_014,twenty,yîi-sìp,ยี่สิบ,'two' 'ten',Special form for 20,[sound:numbers_014.mp3]
numbers_015,thirty,sǎam-sìp,สามสิบ,'three' 'ten',3 x 10,[sound:numbers_015.mp3]
numbers_016,forty,sìi-sìp,สี่สิบ,'four' 'ten',4 x 10,[sound:numbers_016.mp3]
numbers_017,fifty,hâa-sìp,ห้าสิบ,'five' 'ten',5 x 10,[sound:numbers_017.mp3]
numbers_018,sixty,hòk-sìp,หกสิบ,'six' 'ten',6 x 10,[sound:numbers_018.mp3]
numbers_019,seventy,jèt-sìp,เจ็ดสิบ,'seven' 'ten',7 x 10,[sound:numbers_019.mp3]
numbers_020,eighty,pàaet-sìp,แปดสิบ,'eight' 'ten',8 x 10,[sound:numbers_020.mp3]
numbers_021,ninety,gâao-sìp,เก้าสิบ,'nine' 'ten',9 x 10,[sound:numbers_021.mp3]
numbers_022,twenty one,yîi-sìp èt,ยี่สิบเอ็ด,'20' '1',Pattern continues,[sound:numbers_022.mp3]
numbers_023,one hundred,nùeng rɔ́ɔi,หนึ่งร้อย,'one' 'hundred',100,[sound:numbers_023.mp3]
numbers_024,two hundred,sɔ̌ɔng rɔ́ɔi,สองร้อย,'two' 'hundred',200,[sound:numbers_024.mp3]
numbers_025,one thousand,nùeng pan,หนึ่งพัน,'one' 'thousand',1000,[sound:numbers_025.mp3]
numbers_026,ten thousand,mʉ̀ʉn,หมื่น,'ten thousand',Very common in prices,[sound:numbers_026.mp3]
numbers_027,one hundred thousand,sǎen,แสน,'hundred thousand',Used often,[sound:numbers_027.mp3]
numbers_028,one million,láan,ล้าน,'million',Large amounts,[sound:numbers_028.mp3]
numbers_029,baht (currency),bàat,บาท,'baht',Thai currency,[sound:numbers_029.mp3]
numbers_030,one baht,nùeng bàat,หนึ่งบาท,'one' 'baht',Price usage,[sound:numbers_030.mp3]
numbers_031,ten baht,sìp bàat,สิบบาท,'ten' 'baht',Price usage,[sound:numbers_031.mp3]
numbers_032,twenty baht,yîi-sìp bàat,ยี่สิบบาท,'20' 'baht',Very common price,[sound:numbers_032.mp3]
numbers_033,one hundred baht,nùeng rɔ́ɔi bàat,หนึ่งร้อยบาท,'100' 'baht',Common,[sound:numbers_033.mp3]
numbers_034,how much,thâo-rài,เท่าไร,'how much',Used for prices,[sound:numbers_034.mp3]
numbers_035,how many,kii,กี่,'how many',Used with nouns,[sound:numbers_035.mp3]
numbers_036,how many (classifier),kii an,กี่อัน,'how many' 'thing',General objects,[sound:numbers_036.mp3]
numbers_037,one piece,nùeng an,หนึ่งอัน,'one' 'thing',Classifier use,[sound:numbers_037.mp3]
numbers_038,two pieces,sɔ̌ɔng an,สองอัน,'two' 'thing',Classifier use,[sound:numbers_038.mp3]
numbers_039,how much is it,thâo-rài,เท่าไร,'how much',Same phrase as price,[sound:numbers_039.mp3]
numbers_040,about (number),pramaan,ประมาณ,'approximately',Used for estimates,[sound:numbers_040.mp3]
