id,english,romanized,thai,literal,note,audio
shopping_001,buy,sʉ́ʉ,ซื้อ,'buy',Basic transaction verb,[sound:shopping_001.mp3]
shopping_002,sell,khǎai,ขาย,'sell',Used by shops/vendors,[sound:shopping_002.mp3]
shopping_003,pay,jàai ngeen,จ่ายเงิน,'pay' 'money',Common way to say pay,[sound:shopping_003.mp3]
shopping_004,money,ngeen,เงิน,'money',General term,[sound:shopping_004.mp3]
shopping_005,price,raa-khaa,ราคา,'price',Used when asking cost,[sound:shopping_005.mp3]
shopping_006,how much,thâo-rài,เท่าไร,'how much',Used everywhere,[sound:shopping_006.mp3]
shopping_007,cheap,thùuk,ถูก,'cheap / correct',Also means correct,[sound:shopping_007.mp3]
shopping_008,expensive,phɛɛng,แพง,'expensive',Opposite of cheap,[sound:shopping_008.mp3]
shopping_009,discount,lót raa-khaa,ลดราคา,'reduce' 'price',Means discount,[sound:shopping_009.mp3]
shopping_010,can you discount,lót dâi mái,ลดได้ไหม,'reduce' 'can' 'question',Useful for markets,[sound:shopping_010.mp3]
shopping_011,receipt,bai set,ใบเสร็จ,'document' 'finished',Used for receipts,[sound:shopping_011.mp3]
shopping_012,change (money),ngeen thɔɔn,เงินทอน,'money' 'return',Change you receive,[sound:shopping_012.mp3]
shopping_013,do you have...,mii ... mái,มี ... ไหม,'have' '...' 'question',Very useful pattern,[sound:shopping_013.mp3]
shopping_014,do you have this,mii an níi mái,มีอันนี้ไหม,'have' 'thing' 'this' 'question',Used while pointing,[sound:shopping_014.mp3]
shopping_015,i want to buy,chǎn yàak sʉ́ʉ,ฉันอยากซื้อ,'I' 'want' 'buy',Polite but natural,[sound:shopping_015.mp3]
shopping_016,i don’t want to buy,mâi sʉ́ʉ,ไม่ซื้อ,'not' 'buy',Simple refusal,[sound:shopping_016.mp3]
shopping_017,just looking,doo gɔ̀ɔn,ดูก่อน,'look' 'first',Used to avoid pressure,[sound:shopping_017.mp3]
shopping_018,too expensive,phɛɛng pai,แพงไป,'expensive' 'too much',Common phrase,[sound:shopping_018.mp3]
shopping_019,okay / that’s fine,ok / dâai,โอเค / ได้,'ok' / 'can / fine',dâai often means acceptable,[sound:shopping_019.mp3]
shopping_020,card,bàt,บัตร,'card',General card word,[sound:shopping_020.mp3]
shopping_021,credit card,bàt khrɛ́-dit,บัตรเครดิต,'card' 'credit',Loanword,[sound:shopping_021.mp3]
shopping_022,cash,ngeen sot,เงินสด,'money' 'fresh',Cash payment,[sound:shopping_022.mp3]
shopping_023,pay by card,jàai bàt dâai mái,จ่ายบัตรได้ไหม,'pay' 'card' 'can' 'question',Ask before paying,[sound:shopping_023.mp3]
shopping_024,pay cash,jàai ngeen sot,จ่ายเงินสด,'pay' 'cash',Specify payment type,[sound:shopping_024.mp3]
shopping_025,bag,thǔng,ถุง,'bag',Shopping bag,[sound:shopping_025.mp3]
shopping_026,do you want a bag,ao thǔng mái,เอาถุงไหม,'take' 'bag' 'question',Common cashier question,[sound:shopping_026.mp3]
shopping_027,i don’t want a bag,mâi ao thǔng,ไม่เอาถุง,'not' 'take' 'bag',Useful response,[sound:shopping_027.mp3]
shopping_028,this one,an níi,อันนี้,'thing' 'this',Pointing at items,[sound:shopping_028.mp3]
shopping_029,that one,an nán,อันนั้น,'thing' 'that',Pointing farther,[sound:shopping_029.mp3]
shopping_030,how many,thâo-rài,เท่าไร,'how much / how many',Same as price question; context matters,[sound:shopping_030.mp3]
