id,english,romanized,thai,literal,note,audio
food_001,food,aahǎan,อาหาร,'food / nourishment',General word for food,[sound:food_001.mp3]
food_002,drink,dùuem,ดื่ม,'drink',Verb: to drink,[sound:food_002.mp3]
food_003,water,náam,น้ำ,'water',Very commonly used,[sound:food_003.mp3]
food_004,menu,mee-nuu,เมนู,'menu',Loanword,[sound:food_004.mp3]
food_005,rice (cooked),kâao,ข้าว,'rice',Staple food; also means meal in context,[sound:food_005.mp3]
food_006,chicken,gài,ไก่,'chicken',Very common protein,[sound:food_006.mp3]
food_007,pork,mǔu,หมู,'pig / pork',Common in Thai food,[sound:food_007.mp3]
food_008,beef,núeua,เนื้อ,'meat / beef',Less common but still used,[sound:food_008.mp3]
food_009,fish,plaa,ปลา,'fish',Common protein,[sound:food_009.mp3]
food_010,vegetables,phàk,ผัก,'vegetables',General term,[sound:food_010.mp3]
food_011,delicious,à-ròi,อร่อย,'delicious',Super common word,[sound:food_011.mp3]
food_012,not delicious,mâi à-ròi,ไม่อร่อย,'not' 'delicious',Negation,[sound:food_012.mp3]
food_013,spicy,phèt,เผ็ด,'spicy',Important in Thailand,[sound:food_013.mp3]
food_014,not spicy,mâi phèt,ไม่เผ็ด,'not' 'spicy',Useful if you can't handle spice,[sound:food_014.mp3]
food_015,a little spicy,phèt nít nòi,เผ็ดนิดหน่อย,'spicy' 'a little',Good safe phrase,[sound:food_015.mp3]
food_016,very spicy,phèt mâak,เผ็ดมาก,'spicy' 'very',Warning level,[sound:food_016.mp3]
food_017,i want this,ao an níi,เอาอันนี้,'take' 'thing' 'this',Very natural ordering phrase,[sound:food_017.mp3]
food_018,i don’t want,mâi ao,ไม่เอา,'not' 'take',Used for refusal,[sound:food_018.mp3]
food_019,how much is it,thâo-rài,เท่าไร,'how much',Used for price,[sound:food_019.mp3]
food_020,please (softener),nòi,หน่อย,'a little / please',Softens requests,[sound:food_020.mp3]
food_021,check bill,gep ngeen,เก็บเงิน,'collect' 'money',Used to ask for the bill,[sound:food_021.mp3]
food_022,can i have...,khǎaw... dâi mái,ขอ...ได้ไหม,'request' '...' 'can' 'question',Polite request pattern,[sound:food_022.mp3]
food_023,with / add,sài,ใส่,'put / add',Used for adding ingredients,[sound:food_023.mp3]
food_024,don’t add,mâi sài,ไม่ใส่,'not' 'add',Useful for dietary prefs,[sound:food_024.mp3]
food_025,takeaway,sài klàp bâan,ใส่กลับบ้าน,'put' 'return' 'home',Used when ordering takeaway,[sound:food_025.mp3]
food_026,have here,gin thîi nîi,กินที่นี่,'eat' 'place' 'this',Used for dining in,[sound:food_026.mp3]
