id,english,romanized,thai,literal,note
glue_1,I,chǎn,ฉัน,"'I'","Common informal pronoun"
glue_2,you (informal),khun,คุณ,"'you'","Polite and most commonly used for 'you'"
glue_3,he / she,khǎo,เขา,"'he / she / they'","Same word used for he, she, or they depending on context"
glue_4,we,rao,เรา,"'we / us'","Can include or exclude listener depending on context"
glue_5,they,phûak khǎo,พวกเขา,"'group' 'they'","phûak indicates a group of people"
glue_6,this,an níi,อันนี้,"'thing' 'this'","an is a general classifier for objects"
glue_7,that,an nán,อันนั้น,"'thing' 'that'","Used for something further away"
glue_8,here,thîi nîi,ที่นี่,"'place' 'this'","thîi indicates location or place"
glue_9,there,thîi nán,ที่นั่น,"'place' 'that'","Used for a location away from speaker"
glue_10,go,pai,ไป,"'go'","Basic movement verb"
glue_11,come,maa,มา,"'come'","Movement toward speaker"
glue_12,eat,gin,กิน,"'eat'","Used for eating generally"
glue_13,want,yàak,อยาก,"'want / desire'","Often used before verbs"
glue_14,have / there is,mii,มี,"'have / exist'","Used for possession or existence"
glue_15,not,mâi,ไม่,"'not'","General negation word"
glue_16,yes (correct / yes),châi,ใช่,"'correct / yes'","Used to confirm something is correct"
glue_17,no / is not,mâi châi,ไม่ใช่,"'not' 'correct / yes'","Means 'not correct' or 'is not'"
glue_18,what,à-rai,อะไร,"'what'","General question word"
glue_19,where,thîi nǎi,ที่ไหน,"'place' 'which / where'","Used to ask about location"
glue_20,when,mûea-rai,เมื่อไร,"'time' 'what'","Used to ask about time"
glue_21,why,tham-mai,ทำไม,"'do' 'why'","Used to ask reason"
glue_22,how,yàang-rai,อย่างไร,"'way / manner' 'how'","Formal way to ask 'how'"
glue_23,already,láew,แล้ว,"'already'","Indicates completed action"
glue_24,still / still happening,yang,ยัง,"'still / yet'","Used for ongoing or not-yet actions"
glue_25,also,dûai,ด้วย,"'also / too'","Adds inclusion"
glue_26,can / able to,dâi,ได้,"'can / able to'","Indicates ability or permission"
glue_27,cannot,mâi dâi,ไม่ได้,"'not' 'can / able to'","Means cannot or not allowed"
glue_28,must / need to,tông,ต้อง,"'must / have to'","Indicates obligation"
glue_29,very,mâak,มาก,"'very / much'","Used as intensifier"
glue_30,a little,nít nòi,นิดหน่อย,"'small amount' 'a little'","Common phrase for small quantity"
