id,english,romanized,thai,audio
social_001,hello (polite),sà-wàt-dii,สวัสดี,[sound:social_001.mp3]
social_002,how are you,sà-baai-dii mái,สบายดีไหม,[sound:social_002.mp3]
social_003,i am fine,sà-baai-dii,สบายดี,[sound:social_003.mp3]
social_004,what are you doing,tham à-rai yùu,ทำอะไรอยู่,[sound:social_004.mp3]
social_005,where are you going,pai thîi nǎi,ไปที่ไหน,[sound:social_005.mp3]
social_006,have you eaten yet,gin kâao láew reu yang,กินข้าวแล้วหรือยัง,[sound:social_006.mp3]
social_007,i have eaten already,gin kâao láew,กินข้าวแล้ว,[sound:social_007.mp3]
social_008,not yet,yang mâi,ยังไม่,[sound:social_008.mp3]
social_009,are you busy,yûng mái,ยุ่งไหม,[sound:social_009.mp3]
social_010,i am busy,yûng yùu,ยุ่งอยู่,[sound:social_010.mp3]
social_011,i am not busy,mâi yûng,ไม่ยุ่ง,[sound:social_011.mp3]
social_012,what is your name,chûue à-rai,ชื่ออะไร,[sound:social_012.mp3]
social_013,my name is,chûue chǎn khue,ชื่อฉันคือ,[sound:social_013.mp3]
social_014,nice to meet you,yin-dii thîi dâai rúu-jàk,ยินดีที่ได้รู้จัก,[sound:social_014.mp3]
social_015,where are you from,maa jàak thîi nǎi,มาจากที่ไหน,[sound:social_015.mp3]
social_016,i am from australia,chǎn maa jàak australia,ฉันมาจากออสเตรเลีย,[sound:social_016.mp3]
social_017,how old are you,aa-yúu thâo-rài,อายุเท่าไร,[sound:social_017.mp3]
social_018,i am (age) years old,chǎn aa-yúu ___ pii,ฉันอายุ ___ ปี,[sound:social_018.mp3]
social_019,do you speak english,pûut paa-sǎa ang-grìt dâai mái,พูดภาษาอังกฤษได้ไหม,[sound:social_019.mp3]
social_020,i speak a little,pûut dâai nít nòi,พูดได้นิดหน่อย,[sound:social_020.mp3]
social_021,i don't understand,mâi khâo-jai,ไม่เข้าใจ,[sound:social_021.mp3]
social_022,please speak slowly,pûut cháa cháa nòi,พูดช้าๆหน่อย,[sound:social_022.mp3]
social_023,what do you mean,mǎai-khwaam wâa yàang-rai,หมายความว่าอย่างไร,[sound:social_023.mp3]
social_024,really,jing reu,จริงหรือ,[sound:social_024.mp3]
social_025,of course,nâe-nawn,แน่นอน,[sound:social_025.mp3]
social_026,maybe,àat jà,อาจจะ,[sound:social_026.mp3]
social_027,i think,chǎn khít wâa,ฉันคิดว่า,[sound:social_027.mp3]
social_028,that’s good,dii mâak,ดีมาก,[sound:social_028.mp3]
social_029,that’s not good,mâi dii,ไม่ดี,[sound:social_029.mp3]
social_030,see you later,jer gan tawn lǎng,เจอกันตอนหลัง,[sound:social_030.mp3]
