id,english,romanized,thai,literal,note
numbers_001,zero,suun,ศูนย์,"'zero'","Used for phone numbers, formal contexts"
numbers_002,one,nùeng,หนึ่ง,"'one'","Basic number"
numbers_003,two,sǎawng,สอง,"'two'","Basic number"
numbers_004,three,sǎam,สาม,"'three'","Basic number"
numbers_005,four,sìi,สี่,"'four'","Basic number"
numbers_006,five,hâa,ห้า,"'five'","Basic number"
numbers_007,six,hòk,หก,"'six'","Basic number"
numbers_008,seven,jèt,เจ็ด,"'seven'","Basic number"
numbers_009,eight,pàaet,แปด,"'eight'","Basic number"
numbers_010,nine,gâao,เก้า,"'nine'","Basic number"
numbers_011,ten,sìp,สิบ,"'ten'","Base for larger numbers"
numbers_012,eleven,sìp èt,สิบเอ็ด,"'ten' 'one'","Structure: 10 + 1"
numbers_013,twelve,sìp sǎawng,สิบสอง,"'ten' 'two'","10 + 2 pattern"
numbers_014,twenty,yîi-sìp,ยี่สิบ,"'two' 'ten'","Special form for 20"
numbers_015,thirty,sǎam-sìp,สามสิบ,"'three' 'ten'","3 x 10"
numbers_016,forty,sìi-sìp,สี่สิบ,"'four' 'ten'","4 x 10"
numbers_017,fifty,hâa-sìp,ห้าสิบ,"'five' 'ten'","5 x 10"
numbers_018,sixty,hòk-sìp,หกสิบ,"'six' 'ten'","6 x 10"
numbers_019,seventy,jèt-sìp,เจ็ดสิบ,"'seven' 'ten'","7 x 10"
numbers_020,eighty,pàaet-sìp,แปดสิบ,"'eight' 'ten'","8 x 10"
numbers_021,ninety,gâao-sìp,เก้าสิบ,"'nine' 'ten'","9 x 10"
numbers_022,twenty one,yîi-sìp èt,ยี่สิบเอ็ด,"'20' '1'","Pattern continues"
numbers_023,one hundred,nùeng ráaw i,หนึ่งร้อย,"'one' 'hundred'","100"
numbers_024,two hundred,sǎawng ráaw i,สองร้อย,"'two' 'hundred'","200"
numbers_025,one thousand,nùeng pan,หนึ่งพัน,"'one' 'thousand'","1000"
numbers_026,ten thousand,mùuen,หมื่น,"'ten thousand'","Very common in prices"
numbers_027,one hundred thousand,sǎen,แสน,"'hundred thousand'","Used often"
numbers_028,one million,láan,ล้าน,"'million'","Large amounts"
numbers_029,baht (currency),bàat,บาท,"'baht'","Thai currency"
numbers_030,one baht,nùeng bàat,หนึ่งบาท,"'one' 'baht'","Price usage"
numbers_031,ten baht,sìp bàat,สิบบาท,"'ten' 'baht'","Price usage"
numbers_032,twenty baht,yîi-sìp bàat,ยี่สิบบาท,"'20' 'baht'","Very common price"
numbers_033,one hundred baht,nùeng ráaw i bàat,หนึ่งร้อยบาท,"'100' 'baht'","Common"
numbers_034,how much,thâo-rài,เท่าไร,"'how much'","Used for prices"
numbers_035,how many,kii,กี่,"'how many'","Used with nouns"
numbers_036,how many (classifier),kii an,กี่อัน,"'how many' 'thing'","General objects"
numbers_037,one piece,nùeng an,หนึ่งอัน,"'one' 'thing'","Classifier use"
numbers_038,two pieces,sǎawng an,สองอัน,"'two' 'thing'","Classifier use"
numbers_039,how much is it,thâo-rài,เท่าไร,"'how much'","Same phrase as price"
numbers_040,about (number),pramaan,ประมาณ,"'approximately'","Used for estimates"
