id,english,romanized,thai,literal,note
time_001,now,dtawn-níi,ตอนนี้,"'time' 'this'","Present moment"
time_002,later,dtawn lǎng,ตอนหลัง,"'time' 'after'","Future reference"
time_003,before,gɔ̀ɔn,ก่อน,"'before'","Used for sequencing"
time_004,after,lǎng jàak,หลังจาก,"'after' 'from'","Used for sequencing events"
time_005,already,láew,แล้ว,"'already'","Marks completed action"
time_006,not yet,yang mâi,ยังไม่,"'still' 'not'","Haven’t done yet"
time_007,still,yang,ยัง,"'still'","Ongoing action"
time_008,first,gɔ̀ɔn,ก่อน,"'before'","Also means first"
time_009,then,láew gaw,แล้วก็,"'already' 'and then'","Sequence connector"
time_010,today,wan-níi,วันนี้,"'day' 'this'","Current day"
time_011,tomorrow,phrûng-níi,พรุ่งนี้,"'next day'","Future day"
time_012,yesterday,muea-wan,เมื่อวาน,"'previous day'","Past day"
time_013,this morning,chaao níi,เช้านี้,"'morning' 'this'","Time reference"
time_014,this afternoon,bàai níi,บ่ายนี้,"'afternoon' 'this'","Time reference"
time_015,this evening,yen níi,เย็นนี้,"'evening' 'this'","Time reference"
time_016,tonight,khuun níi,คืนนี้,"'night' 'this'","Time reference"
time_017,morning,chaao,เช้า,"'morning'","Time of day"
time_018,afternoon,bàai,บ่าย,"'afternoon'","Time of day"
time_019,evening,yen,เย็น,"'evening / cool'","Also means cool"
time_020,night,khuun,คืน,"'night'","Time of day"
time_021,early,reo,เร็ว,"'early / fast'","Context dependent"
time_022,late,sǎai,สาย,"'late'","Opposite of early"
time_023,very early,reo mâak,เร็วมาก,"'early' 'very'","Emphasis"
time_024,very late,sǎai mâak,สายมาก,"'late' 'very'","Emphasis"
time_025,every day,thúk wan,ทุกวัน,"'every' 'day'","Daily frequency"
time_026,every week,thúk aa-thít,ทุกอาทิตย์,"'every' 'week'","Weekly frequency"
time_027,every month,thúk duean,ทุกเดือน,"'every' 'month'","Monthly frequency"
time_028,always,sà-muěe,เสมอ,"'always'","Strong frequency"
time_029,often,bawy,บ่อย,"'often'","Common frequency"
time_030,sometimes,baang thii,บางที,"'some' 'time'","Occasional"
time_031,rarely,naan naan thii,นานๆที,"'long time' 'time'","Infrequent"
time_032,never,mâi khey,ไม่เคย,"'not' 'ever'","Never done before"
time_033,usually,pòk-gà-dtii,ปกติ,"'normal'","Habitual"
time_034,again,ìik,อีก,"'again / more'","Repeat action"
time_035,one more time,ìik kráng,อีกครั้ง,"'again' 'time'","Repeat"
time_036,for a long time,naan,นาน,"'long time'","Duration"
time_037,for a short time,mâi naan,ไม่นาน,"'not' 'long'","Short duration"
time_038,what time,kii mong,กี่โมง,"'how many' 'hour'","Used to ask time"
time_039,what time is it now,dtawn-níi kii mong,ตอนนี้กี่โมง,"'now' 'how many hour'","Very useful"
time_040,around (time),pramaan,ประมาณ,"'approximately'","Used for rough time"
