id,english,romanized,thai,literal,note
daily_001,ride BTS,nâng rot-fai fáa,นั่งรถไฟฟ้า,"'sit' 'train electric'","Used for BTS travel"
daily_002,ride MRT,nâng rot-fai tai-din,นั่งรถไฟใต้ดิน,"'sit' 'train underground'","Used for MRT"
daily_003,get on (transport),khûen,ขึ้น,"'go up / board'","Used for getting on BTS, MRT, taxi"
daily_004,get off (transport),long,ลง,"'go down'","Used for exiting transport"
daily_005,go upstairs,khûen chan bon,ขึ้นชั้นบน,"'go up' 'floor' 'above'","chan = floor"
daily_006,go downstairs,long chan lǎang,ลงชั้นล่าง,"'go down' 'floor' 'below'","lǎang = lower"
daily_007,ride elevator,khûen lift,ขึ้นลิฟต์,"'go up' 'lift'","Loanword"
daily_008,elevator,lift,ลิฟต์,"'lift'","Common word"
daily_009,stairs,ban-dai,บันได,"'stairs'","Used everywhere"
daily_010,bathroom,hâwng náam,ห้องน้ำ,"'room' 'water'","Means bathroom / toilet"
daily_011,where is the bathroom,hâwng náam yùu thîi nǎi,ห้องน้ำอยู่ที่ไหน,"'bathroom' 'located' 'where'","Very useful phrase"
daily_012,shower,àap náam,อาบน้ำ,"'bathe' 'water'","Means to shower"
daily_013,toilet (informal),sôm,ส้วม,"'toilet'","More casual / less polite"
daily_014,water (drink),náam,น้ำ,"'water'","Used constantly"
daily_015,drink water,dùuem náam,ดื่มน้ำ,"'drink' 'water'","Basic phrase"
daily_016,coworking space,thîi tham ngaan ruam,ที่ทำงานร่วม,"'place' 'work' 'together'","Describes coworking space"
daily_017,work on laptop,chai laptop tham ngaan,ใช้แล็ปท็อปทำงาน,"'use' 'laptop' 'work'","chai = use"
daily_018,laptop,laptop,แล็ปท็อป,"'laptop'","Loanword"
daily_019,internet,wai-fai,ไวไฟ,"'wifi'","Common pronunciation"
daily_020,no internet,mâi mii wai-fai,ไม่มีไวไฟ,"'not have' 'wifi'","Common problem phrase"
daily_021,membership,sà-maa-chík,สมาชิก,"'member'","Used for gym/coworking"
daily_022,gym,fít-naet,ฟิตเนส,"'fitness'","Loanword"
daily_023,go to the gym,pai fít-naet,ไปฟิตเนส,"'go' 'gym'","Very common"
daily_024,work out,àwk gam-lang-gaai,ออกกำลังกาย,"'go out' 'build body strength'","Exercise"
daily_025,lift weights,yók náam-nàk,ยกน้ำหนัก,"'lift' 'weight'","Gym specific"
daily_026,run (exercise),wîng,วิ่ง,"'run'","Exercise"
daily_027,treadmill,khreuuang wîng,เครื่องวิ่ง,"'machine' 'run'","Gym equipment"
daily_028,strong,khaeng,แข็ง,"'strong / hard'","Physical strength"
daily_029,tired,nùeai,เหนื่อย,"'tired'","After gym"
daily_030,very tired,nùeai mâak,เหนื่อยมาก,"'tired' 'very'","Common expression"
daily_031,rest,pàk phǎwn,พักผ่อน,"'rest' 'relax'","Recovery"
daily_032,take a break,pàk gàwn,พักก่อน,"'rest' 'first'","Short break"
daily_033,busy,yûng,ยุ่ง,"'busy'","General use"
daily_034,i am busy,yûng yùu,ยุ่งอยู่,"'busy' 'ongoing'","Currently busy"
daily_035,free (available),wâang,ว่าง,"'free / empty'","Opposite of busy"
daily_036,i am free,wâang yùu,ว่างอยู่,"'free' 'ongoing'","Available now"
daily_037,wait,raw,รอ,"'wait'","Useful everywhere"
daily_038,wait a moment,raw nít nòi,รอนิดหน่อย,"'wait' 'a little'","Polite delay"
daily_039,finished,sèt láew,เสร็จแล้ว,"'finished' 'already'","Completion marker"
daily_040,not finished yet,yang mâi sèt,ยังไม่เสร็จ,"'still' 'not' 'finished'","Ongoing state"
