id,english,romanized,thai,literal,note
func_001,please (softener),nòi,หน่อย,"'a little'","Softens requests; very important"
func_002,please (formal),kharáp / khâ,ครับ / ค่ะ,"'polite particle'","kharáp (male), khâ (female)"
func_003,thank you,khàwp khun,ขอบคุณ,"'thank' 'you'","Standard polite phrase"
func_004,thank you very much,khàwp khun mâak,ขอบคุณมาก,"'thank you' 'very'","Stronger appreciation"
func_005,sorry,khǎaw-thôot,ขอโทษ,"'request' 'forgiveness'","Used for apology"
func_006,excuse me,khǎaw-thôot,ขอโทษ,"'request' 'forgiveness'","Also used to get attention"
func_007,it’s okay,mâi pen rai,ไม่เป็นไร,"'not' 'be' 'anything'","Very common phrase"
func_008,no problem,mâi pen rai,ไม่เป็นไร,"'not' 'be' 'anything'","Same phrase, different context"
func_009,never mind,châang man,ช่างมัน,"'leave it'","Casual, less polite"
func_010,wait a moment,rɔɔ nít nòi,รอนิดหน่อย,"'wait' 'a little'","Polite delay"
func_011,just a moment,dtawn níi nít nòi,ตอนนี้นิดหน่อย,"'now' 'a little'","Short wait"
func_012,hold on,rɔɔ gɔ̀ɔn,รอก่อน,"'wait' 'before'","Common phrase"
func_013,can you...,khun ... dâi mái,คุณ ... ได้ไหม,"'you' '...' 'can' 'question'","General request pattern"
func_014,can i...,chǎn ... dâi mái,ฉัน ... ได้ไหม,"'I' '...' 'can' 'question'","Polite request"
func_015,i would like...,chǎn yàak...,ฉันอยาก...,"'I' 'want'","Used for requests"
func_016,i don’t understand,mâi khâo jai,ไม่เข้าใจ,"'not' 'understand'","Very important"
func_017,please repeat,phûut ìik kráng,พูดอีกครั้ง,"'speak' 'again' 'time'","Ask for repetition"
func_018,please speak slowly,phûut cháa cháa nòi,พูดช้าๆหน่อย,"'speak' 'slow slow' 'a little'","Very useful"
func_019,what does this mean,an níi mǎai khwaam wâa à-rai,อันนี้หมายความว่าอะไร,"'this' 'means' 'that' 'what'","Useful learning phrase"
func_020,how do you say...,phûut wâa yàang-rai,พูดว่าอย่างไร,"'speak' 'that' 'how'","Ask for translation"
func_021,what is this,an níi khue à-rai,อันนี้คืออะไร,"'this' 'is' 'what'","Pointing at things"
func_022,i think,chǎn khít wâa,ฉันคิดว่า,"'I' 'think' 'that'","Opinion starter"
func_023,i don’t think so,chǎn mâi khít wâa châi,ฉันไม่คิดว่าใช่,"'I' 'not think' 'that' 'yes'","Soft disagreement"
func_024,maybe,àat jà,อาจจะ,"'might'","Uncertainty"
func_025,probably,nâa jà,น่าจะ,"'likely'","More confident than maybe"
func_026,of course,nâe-nawn,แน่นอน,"'sure' '(emphasis)'","Strong agreement"
func_027,not sure,mâi nâe jai,ไม่แน่ใจ,"'not' 'sure' 'heart'","Common phrase"
func_028,really,jing reu,จริงหรือ,"'true' 'or'","Surprise / confirmation"
func_029,seriously,jing jing,จริงๆ,"'true true'","Emphasis"
func_030,okay,ok / dâi,โอเค / ได้,"'ok' / 'can'","Used constantly"
func_031,that’s fine,dâi,ได้,"'can / okay'","Accepting something"
func_032,not okay,mâi dâi,ไม่ได้,"'not' 'can'","Refusal"
func_033,up to you,laew tae khun,แล้วแต่คุณ,"'depends' 'you'","Decision phrase"
func_034,it depends,laew tae,แล้วแต่,"'depends'","General phrase"
func_035,for example,dtua yàang,ตัวอย่าง,"'example'","Used in explanations"
func_036,for me,sǎm-ràp chǎn,สำหรับฉัน,"'for' 'me'","Personal opinion"
func_037,like this,baep níi,แบบนี้,"'style' 'this'","Demonstration"
func_038,like that,baep nán,แบบนั้น,"'style' 'that'","Demonstration"
func_039,what happened,gèrt à-rai khʉ̂n,เกิดอะไรขึ้น,"'happen' 'what' 'rise'","Asking about situation"
func_040,what’s wrong,pen à-rai,เป็นอะไร,"'be' 'what'","Concern or issue"
