id,english,romanized,thai,literal,note,audio
func_001,please (softener),nòi,หน่อย,'a little',Softens requests; very important,[sound:func_001.mp3]
func_002,please (formal),kharáp / khâ,ครับ / ค่ะ,'polite particle',"kharáp (male), khâ (female)",[sound:func_002.mp3]
func_003,thank you,khàwp khun,ขอบคุณ,'thank' 'you',Standard polite phrase,[sound:func_003.mp3]
func_004,thank you very much,khàwp khun mâak,ขอบคุณมาก,'thank you' 'very',Stronger appreciation,[sound:func_004.mp3]
func_005,sorry,khǎaw-thôot,ขอโทษ,'request' 'forgiveness',Used for apology,[sound:func_005.mp3]
func_006,excuse me,khǎaw-thôot,ขอโทษ,'request' 'forgiveness',Also used to get attention,[sound:func_006.mp3]
func_007,it’s okay,mâi pen rai,ไม่เป็นไร,'not' 'be' 'anything',Very common phrase,[sound:func_007.mp3]
func_008,no problem,mâi pen rai,ไม่เป็นไร,'not' 'be' 'anything',"Same phrase, different context",[sound:func_008.mp3]
func_009,never mind,châang man,ช่างมัน,'leave it',"Casual, less polite",[sound:func_009.mp3]
func_010,wait a moment,rɔɔ nít nòi,รอนิดหน่อย,'wait' 'a little',Polite delay,[sound:func_010.mp3]
func_011,just a moment,dtawn níi nít nòi,ตอนนี้นิดหน่อย,'now' 'a little',Short wait,[sound:func_011.mp3]
func_012,hold on,rɔɔ gɔ̀ɔn,รอก่อน,'wait' 'before',Common phrase,[sound:func_012.mp3]
func_013,can you...,khun ... dâi mái,คุณ ... ได้ไหม,'you' '...' 'can' 'question',General request pattern,[sound:func_013.mp3]
func_014,can i...,chǎn ... dâi mái,ฉัน ... ได้ไหม,'I' '...' 'can' 'question',Polite request,[sound:func_014.mp3]
func_015,i would like...,chǎn yàak...,ฉันอยาก...,'I' 'want',Used for requests,[sound:func_015.mp3]
func_016,i don’t understand,mâi khâo jai,ไม่เข้าใจ,'not' 'understand',Very important,[sound:func_016.mp3]
func_017,please repeat,phûut ìik kráng,พูดอีกครั้ง,'speak' 'again' 'time',Ask for repetition,[sound:func_017.mp3]
func_018,please speak slowly,phûut cháa cháa nòi,พูดช้าๆหน่อย,'speak' 'slow slow' 'a little',Very useful,[sound:func_018.mp3]
func_019,what does this mean,an níi mǎai khwaam wâa à-rai,อันนี้หมายความว่าอะไร,'this' 'means' 'that' 'what',Useful learning phrase,[sound:func_019.mp3]
func_020,how do you say...,phûut wâa yàang-rai,พูดว่าอย่างไร,'speak' 'that' 'how',Ask for translation,[sound:func_020.mp3]
func_021,what is this,an níi khue à-rai,อันนี้คืออะไร,'this' 'is' 'what',Pointing at things,[sound:func_021.mp3]
func_022,i think,chǎn khít wâa,ฉันคิดว่า,'I' 'think' 'that',Opinion starter,[sound:func_022.mp3]
func_023,i don’t think so,chǎn mâi khít wâa châi,ฉันไม่คิดว่าใช่,'I' 'not think' 'that' 'yes',Soft disagreement,[sound:func_023.mp3]
func_024,maybe,àat jà,อาจจะ,'might',Uncertainty,[sound:func_024.mp3]
func_025,probably,nâa jà,น่าจะ,'likely',More confident than maybe,[sound:func_025.mp3]
func_026,of course,nâe-nawn,แน่นอน,'sure' '(emphasis)',Strong agreement,[sound:func_026.mp3]
func_027,not sure,mâi nâe jai,ไม่แน่ใจ,'not' 'sure' 'heart',Common phrase,[sound:func_027.mp3]
func_028,really,jing reu,จริงหรือ,'true' 'or',Surprise / confirmation,[sound:func_028.mp3]
func_029,seriously,jing jing,จริงๆ,'true true',Emphasis,[sound:func_029.mp3]
func_030,okay,ok / dâi,โอเค / ได้,'ok' / 'can',Used constantly,[sound:func_030.mp3]
func_031,that’s fine,dâi,ได้,'can / okay',Accepting something,[sound:func_031.mp3]
func_032,not okay,mâi dâi,ไม่ได้,'not' 'can',Refusal,[sound:func_032.mp3]
func_033,up to you,laew tae khun,แล้วแต่คุณ,'depends' 'you',Decision phrase,[sound:func_033.mp3]
func_034,it depends,laew tae,แล้วแต่,'depends',General phrase,[sound:func_034.mp3]
func_035,for example,dtua yàang,ตัวอย่าง,'example',Used in explanations,[sound:func_035.mp3]
func_036,for me,sǎm-ràp chǎn,สำหรับฉัน,'for' 'me',Personal opinion,[sound:func_036.mp3]
func_037,like this,baep níi,แบบนี้,'style' 'this',Demonstration,[sound:func_037.mp3]
func_038,like that,baep nán,แบบนั้น,'style' 'that',Demonstration,[sound:func_038.mp3]
func_039,what happened,gèrt à-rai khʉ̂n,เกิดอะไรขึ้น,'happen' 'what' 'rise',Asking about situation,[sound:func_039.mp3]
func_040,what’s wrong,pen à-rai,เป็นอะไร,'be' 'what',Concern or issue,[sound:func_040.mp3]
