id,english,romanized,thai,literal,note,audio
time_001,now,dtawn-níi,ตอนนี้,'time' 'this',Present moment,[sound:time_001.mp3]
time_002,later,dtawn lǎng,ตอนหลัง,'time' 'after',Future reference,[sound:time_002.mp3]
time_003,before,gɔ̀ɔn,ก่อน,'before',Used for sequencing,[sound:time_003.mp3]
time_004,after,lǎng jàak,หลังจาก,'after' 'from',Used for sequencing events,[sound:time_004.mp3]
time_005,already,láew,แล้ว,'already',Marks completed action,[sound:time_005.mp3]
time_006,not yet,yang mâi,ยังไม่,'still' 'not',Haven’t done yet,[sound:time_006.mp3]
time_007,still,yang,ยัง,'still',Ongoing action,[sound:time_007.mp3]
time_008,first,gɔ̀ɔn,ก่อน,'before',Also means first,[sound:time_008.mp3]
time_009,then,láew gaw,แล้วก็,'already' 'and then',Sequence connector,[sound:time_009.mp3]
time_010,today,wan-níi,วันนี้,'day' 'this',Current day,[sound:time_010.mp3]
time_011,tomorrow,phrûng-níi,พรุ่งนี้,'next day',Future day,[sound:time_011.mp3]
time_012,yesterday,muea-wan,เมื่อวาน,'previous day',Past day,[sound:time_012.mp3]
time_013,this morning,chaao níi,เช้านี้,'morning' 'this',Time reference,[sound:time_013.mp3]
time_014,this afternoon,bàai níi,บ่ายนี้,'afternoon' 'this',Time reference,[sound:time_014.mp3]
time_015,this evening,yen níi,เย็นนี้,'evening' 'this',Time reference,[sound:time_015.mp3]
time_016,tonight,khuun níi,คืนนี้,'night' 'this',Time reference,[sound:time_016.mp3]
time_017,morning,chaao,เช้า,'morning',Time of day,[sound:time_017.mp3]
time_018,afternoon,bàai,บ่าย,'afternoon',Time of day,[sound:time_018.mp3]
time_019,evening,yen,เย็น,'evening / cool',Also means cool,[sound:time_019.mp3]
time_020,night,khuun,คืน,'night',Time of day,[sound:time_020.mp3]
time_021,early,reo,เร็ว,'early / fast',Context dependent,[sound:time_021.mp3]
time_022,late,sǎai,สาย,'late',Opposite of early,[sound:time_022.mp3]
time_023,very early,reo mâak,เร็วมาก,'early' 'very',Emphasis,[sound:time_023.mp3]
time_024,very late,sǎai mâak,สายมาก,'late' 'very',Emphasis,[sound:time_024.mp3]
time_025,every day,thúk wan,ทุกวัน,'every' 'day',Daily frequency,[sound:time_025.mp3]
time_026,every week,thúk aa-thít,ทุกอาทิตย์,'every' 'week',Weekly frequency,[sound:time_026.mp3]
time_027,every month,thúk duean,ทุกเดือน,'every' 'month',Monthly frequency,[sound:time_027.mp3]
time_028,always,sà-muěe,เสมอ,'always',Strong frequency,[sound:time_028.mp3]
time_029,often,bawy,บ่อย,'often',Common frequency,[sound:time_029.mp3]
time_030,sometimes,baang thii,บางที,'some' 'time',Occasional,[sound:time_030.mp3]
time_031,rarely,naan naan thii,นานๆที,'long time' 'time',Infrequent,[sound:time_031.mp3]
time_032,never,mâi khey,ไม่เคย,'not' 'ever',Never done before,[sound:time_032.mp3]
time_033,usually,pòk-gà-dtii,ปกติ,'normal',Habitual,[sound:time_033.mp3]
time_034,again,ìik,อีก,'again / more',Repeat action,[sound:time_034.mp3]
time_035,one more time,ìik kráng,อีกครั้ง,'again' 'time',Repeat,[sound:time_035.mp3]
time_036,for a long time,naan,นาน,'long time',Duration,[sound:time_036.mp3]
time_037,for a short time,mâi naan,ไม่นาน,'not' 'long',Short duration,[sound:time_037.mp3]
time_038,what time,kii mong,กี่โมง,'how many' 'hour',Used to ask time,[sound:time_038.mp3]
time_039,what time is it now,dtawn-níi kii mong,ตอนนี้กี่โมง,'now' 'how many hour',Very useful,[sound:time_039.mp3]
time_040,around (time),pramaan,ประมาณ,'approximately',Used for rough time,[sound:time_040.mp3]
