id,english,romanized,thai,literal,note
directions_001,go,pai,ไป,"'go'","Basic movement verb"
directions_002,come,maa,มา,"'come'","Movement toward speaker"
directions_003,walk,dern,เดิน,"'walk'","General movement on foot"
directions_004,turn,liao,เลี้ยว,"'turn'","Used with left/right"
directions_005,left,sǎai,ซ้าย,"'left'","Direction"
directions_006,right,khwǎa,ขวา,"'right'","Direction"
directions_007,straight,trong,ตรง,"'straight / direct'","Used for going straight"
directions_008,stop,yùt,หยุด,"'stop'","Useful for taxis"
directions_009,slow down,châa nòi,ช้าหน่อย,"'slow' 'a bit'","Useful in transport"
directions_010,here,thîi nîi,ที่นี่,"'place' 'this'","Indicates current location"
directions_011,there,thîi nán,ที่นั่น,"'place' 'that'","Indicates distant place"
directions_012,near,glài,ใกล้,"'near'","Distance descriptor"
directions_013,far,glai,ไกล,"'far'","Distance descriptor"
directions_014,where is...,yùu thîi nǎi,อยู่ที่ไหน,"'be located' 'place' 'where'","Used to ask for location"
directions_015,is it far,mǎi glai mái,ไม่ไกลไหม,"'not' 'far' 'question'","Used to check distance"
directions_016,go straight,pai trong,ไปตรง,"'go' 'straight'","Common instruction"
directions_017,turn left,liao sǎai,เลี้ยวซ้าย,"'turn' 'left'","Instruction"
directions_018,turn right,liao khwǎa,เลี้ยวขวา,"'turn' 'right'","Instruction"
directions_019,go back,glàp,กลับ,"'return / go back'","Reverse direction"
directions_020,arrive,thʉ̌ng,ถึง,"'arrive / reach'","Used for reaching destination"
directions_021,i arrived,lɛ́ɛo thʉ̌ng,แล้วถึง,"'already' 'arrive'","Completion marker"
directions_022,taxi,ták-sii,แท็กซี่,"'taxi'","Loanword"
directions_023,train,rot-fai,รถไฟ,"'vehicle' 'fire'","Train"
directions_024,bts skytrain,rot-fai fáa,รถไฟฟ้า,"'vehicle' 'fire' 'electric'","Bangkok skytrain"
directions_025,mrt subway,rot-fai tai-din,รถไฟใต้ดิน,"'vehicle' 'fire' 'under ground'","Subway"
directions_026,motorbike taxi,win mɔɔ-sai,วินมอเตอร์ไซค์,"'station' 'motorbike'","Common short-distance transport"
directions_027,car,rot,รถ,"'vehicle'","General transport word"
directions_028,road / street,thanon,ถนน,"'road'","Important for addresses"
directions_029,soi (side street),soi,ซอย,"'side street'","Very common in Bangkok"
directions_030,traffic,rot tìt,รถติด,"'vehicle' 'stuck'","Means traffic jam"
