id,english,romanized,thai,literal,note
social_001,hello (polite),sà-wàt-dii,สวัสดี,,General greeting used anytime
social_002,how are you,sà-baai-dii mái,สบายดีไหม,"'comfortable / well' 'question particle'","sà-baai-dii means feeling well, comfortable, or doing okay"
social_003,i am fine,sà-baai-dii,สบายดี,"'comfortable / well'","Used for feeling well or doing okay"
social_004,what are you doing,tham à-rai yùu,ทำอะไรอยู่,"'do' 'what' 'currently / being'","yùu adds the sense of currently doing something"
social_005,where are you going,pai thîi nǎi,ไปที่ไหน,"'go' 'place' 'where'","Literal structure is very direct: go + place + where"
social_006,have you eaten yet,gin kâao láew reu yang,กินข้าวแล้วหรือยัง,"'eat' 'rice' 'already' 'or' 'still / yet'","gin kâao literally means 'eat rice' but usually means 'eat a meal'"
social_007,i have eaten already,gin kâao láew,กินข้าวแล้ว,"'eat' 'rice' 'already'","gin kâao literally means 'eat rice' but usually means 'eat a meal'"
social_008,not yet,yang mâi,ยังไม่,"'still / yet' 'not'","Common pattern for 'haven’t done it yet'"
social_009,are you busy,yûng mái,ยุ่งไหม,"'busy' 'question particle'","yûng means busy or occupied"
social_010,i am busy,yûng yùu,ยุ่งอยู่,"'busy' 'currently / being'","yùu makes it feel ongoing: busy right now"
social_011,i am not busy,mâi yûng,ไม่ยุ่ง,"'not' 'busy'","Simple negation"
social_012,what is your name,chûue à-rai,ชื่ออะไร,"'name' 'what'","chûue means name"
social_013,my name is,chûue chǎn khue,ชื่อฉันคือ,"'name' 'I' 'is / equals'","More formal; often shortened in real life to just chûue Ethan"
social_014,nice to meet you,yin-dii thîi dâai rúu-jàk,ยินดีที่ได้รู้จัก,"'pleased / glad' 'that' 'got to' 'know / become acquainted'","A polite standard phrase"
social_015,where are you from,maa jàak thîi nǎi,มาจากที่ไหน,"'come' 'from' 'place' 'where'","Literal structure is come + from + where"
social_016,i am from australia,chǎn maa jàak australia,ฉันมาจากออสเตรเลีย,"'I' 'come' 'from' 'Australia'","Useful base pattern: chǎn maa jàak X"
social_017,how old are you,aa-yúu thâo-rài,อายุเท่าไร,"'age' 'how much / how many'","thâo-rài is a common how-much / how-many phrase"
social_018,i am (age) years old,chǎn aa-yúu ___ pii,ฉันอายุ ___ ปี,"'I' 'age' '___' 'year'","pii means year"
social_019,do you speak english,pûut paa-sǎa ang-grìt dâai mái,พูดภาษาอังกฤษได้ไหม,"'speak' 'language' 'English' 'can / able to' 'question particle'","dâai adds the sense of ability"
social_020,i speak a little,pûut dâai nít nòi,พูดได้นิดหน่อย,"'speak' 'can / able to' 'a little'","nít nòi means a little"
social_021,i don't understand,mâi khâo-jai,ไม่เข้าใจ,"'not' 'understand'","khâo-jai means understand"
social_022,please speak slowly,pûut cháa cháa nòi,พูดช้าๆหน่อย,"'speak' 'slow slow' 'a bit / please'","nòi softens the request and makes it sound more natural"
social_023,what do you mean,mǎai-khwaam wâa yàang-rai,หมายความว่าอย่างไร,"'mean / signify' 'that' 'how'","A bit formal, but useful"
social_024,really,jing reu,จริงหรือ,"'true' 'or?'","Used to show surprise or check if something is true"
social_025,of course,nâe-nawn,แน่นอน,"'sure / certain' '(emphatic / fixed expression part)'","nâe means sure or certain; the full phrase means of course / definitely"
social_026,maybe,àat jà,อาจจะ,"'might' '(softening / possibility marker)'","Used to show uncertainty"
social_027,i think,chǎn khít wâa,ฉันคิดว่า,"'I' 'think' 'that'","Useful lead-in for opinions"
social_028,that’s good,dii mâak,ดีมาก,"'good' 'very'","mâak means very"
social_029,that’s not good,mâi dii,ไม่ดี,"'not' 'good'","Simple negation"
social_030,see you later,jer gan tawn lǎng,เจอกันตอนหลัง,"'meet' 'each other' 'time / period' 'later / behind'","jer gan means meet each other"
