id,english,romanized,thai,literal,note
time_001,now,dtawn-níi,ตอนนี้,"'time' 'this'","Present moment"
time_002,later,dtawn lǎng,ตอนหลัง,"'time' 'after'","Future reference"
time_003,before,gàwn,ก่อน,"'before'","Used for sequencing"
time_004,after,lǎng jàak,หลังจาก,"'after' 'from'","Used for sequencing events"
time_005,already,láew,แล้ว,"'already'","Marks completed action"
time_006,not yet,yang mâi,ยังไม่,"'still' 'not'","Haven’t done yet"
time_007,still,yang,ยัง,"'still'","Ongoing action"
time_008,then,láew gaw,แล้วก็,"'already' 'and then'","Sequence connector"
time_009,today,wan-níi,วันนี้,"'day' 'this'","Current day"
time_010,tomorrow,phrûng-níi,พรุ่งนี้,"'next day'","Future day"
time_011,yesterday,muea-wan,เมื่อวาน,"'previous day'","Past day"
time_012,this morning,chaao níi,เช้านี้,"'morning' 'this'","Time reference"
time_013,this afternoon,bàai níi,บ่ายนี้,"'afternoon' 'this'","Time reference"
time_014,this evening,yen níi,เย็นนี้,"'evening' 'this'","Time reference"
time_015,tonight,khuun níi,คืนนี้,"'night' 'this'","Time reference"
time_016,morning,chaao,เช้า,"'morning'","Time of day"
time_017,afternoon,bàai,บ่าย,"'afternoon'","Time of day"
time_018,evening,yen,เย็น,"'evening / cool'","Also means cool"
time_019,night,khuun,คืน,"'night'","Time of day"
time_020,early,reo,เร็ว,"'early / fast'","Context dependent"
time_021,late,sàai,สาย,"'late'","Opposite of early"
time_022,very early,reo mâak,เร็วมาก,"'early' 'very'","Emphasis"
time_023,very late,sàai mâak,สายมาก,"'late' 'very'","Emphasis"
time_024,every day,thúk wan,ทุกวัน,"'every' 'day'","Daily frequency"
time_025,every week,thúk aa-thít,ทุกอาทิตย์,"'every' 'week'","Weekly frequency"
time_026,every month,thúk duean,ทุกเดือน,"'every' 'month'","Monthly frequency"
time_027,always,sà-muěe,เสมอ,"'always'","Strong frequency"
time_028,often,bawy,บ่อย,"'often'","Common frequency"
time_029,sometimes,baang thii,บางที,"'some' 'time'","Occasional"
time_030,rarely,naan naan thii,นานๆที,"'long time' 'time'","Infrequent"
time_031,never,mâi khey,ไม่เคย,"'not' 'ever'","Never done before"
time_032,usually,pòk-gà-dtii,ปกติ,"'normal'","Habitual"
time_033,again,ìik,อีก,"'again / more'","Repeat action"
time_034,one more time,ìik kráng,อีกครั้ง,"'again' 'time'","Repeat"
time_035,for a long time,naan,นาน,"'long time'","Duration"
time_036,for a short time,mâi naan,ไม่นาน,"'not' 'long'","Short duration"
time_037,what time,kii mong,กี่โมง,"'how many' 'hour'","Used to ask time"
time_038,what time is it now,dtawn-níi kii mong,ตอนนี้กี่โมง,"'now' 'how many hour'","Very useful"
time_039,around (time),pramaan,ประมาณ,"'approximately'","Used for rough time"
