id,english,romanized,thai,literal,note,audio
daily_001,ride BTS,nâŋ rot-fai fáa,นั่งรถไฟฟ้า,'sit' 'train electric',Used for BTS travel,[sound:daily_001.mp3]
daily_002,ride MRT,nâŋ rot-fai tai-din,นั่งรถไฟใต้ดิน,'sit' 'train underground',Used for MRT,[sound:daily_002.mp3]
daily_003,get on (transport),khʉ̂n,ขึ้น,'go up / board',"Used for getting on BTS, MRT, taxi",[sound:daily_003.mp3]
daily_004,get off (transport),long,ลง,'go down',Used for exiting transport,[sound:daily_004.mp3]
daily_005,go upstairs,khʉ̂n chan bon,ขึ้นชั้นบน,'go up' 'floor' 'above',chan = floor,[sound:daily_005.mp3]
daily_006,go downstairs,long chan lǎang,ลงชั้นล่าง,'go down' 'floor' 'below',lǎang = lower,[sound:daily_006.mp3]
daily_007,ride elevator,khʉ̂n lift,ขึ้นลิฟต์,'go up' 'lift',Loanword,[sound:daily_007.mp3]
daily_008,elevator,lift,ลิฟต์,'lift',Common word,[sound:daily_008.mp3]
daily_009,stairs,bàn-dai,บันได,'stairs',Used everywhere,[sound:daily_009.mp3]
daily_010,bathroom,hɔ̂ng náam,ห้องน้ำ,'room' 'water',Means bathroom / toilet,[sound:daily_010.mp3]
daily_011,where is the bathroom,hɔ̂ng náam yùu thîi nǎi,ห้องน้ำอยู่ที่ไหน,'bathroom' 'located' 'where',Very useful phrase,[sound:daily_011.mp3]
daily_012,shower,àap náam,อาบน้ำ,'bathe' 'water',Means to shower,[sound:daily_012.mp3]
daily_013,toilet (informal),sôm,ส้วม,'toilet',More casual / less polite,[sound:daily_013.mp3]
daily_014,water (drink),náam,น้ำ,'water',Used constantly,[sound:daily_014.mp3]
daily_015,drink water,dʉ̀ʉm náam,ดื่มน้ำ,'drink' 'water',Basic phrase,[sound:daily_015.mp3]
daily_016,coworking space,thîi tham ngaan ruam,ที่ทำงานร่วม,'place' 'work' 'together',Describes coworking space,[sound:daily_016.mp3]
daily_017,work on laptop,chai laptop tham ngaan,ใช้แล็ปท็อปทำงาน,'use' 'laptop' 'work',chai = use,[sound:daily_017.mp3]
daily_018,laptop,laptop,แล็ปท็อป,'laptop',Loanword,[sound:daily_018.mp3]
daily_019,internet,wai-fai,ไวไฟ,'wifi',Common pronunciation,[sound:daily_019.mp3]
daily_020,no internet,mâi mii wai-fai,ไม่มีไวไฟ,'not have' 'wifi',Common problem phrase,[sound:daily_020.mp3]
daily_021,membership,sà-maa-chík,สมาชิก,'member',Used for gym/coworking,[sound:daily_021.mp3]
daily_022,gym,fít-nɛ̀t,ฟิตเนส,'fitness',Loanword,[sound:daily_022.mp3]
daily_023,go to the gym,pai fít-nɛ̀t,ไปฟิตเนส,'go' 'gym',Very common,[sound:daily_023.mp3]
daily_024,work out,ɔ̀ɔk gam-lang-gaai,ออกกำลังกาย,'go out' 'build body strength',Exercise,[sound:daily_024.mp3]
daily_025,lift weights,yók náam-nàk,ยกน้ำหนัก,'lift' 'weight',Gym specific,[sound:daily_025.mp3]
daily_026,run (exercise),wîng,วิ่ง,'run',Exercise,[sound:daily_026.mp3]
daily_027,treadmill,khreuuang wîng,เครื่องวิ่ง,'machine' 'run',Gym equipment,[sound:daily_027.mp3]
daily_028,strong,khaeng,แข็ง,'strong / hard',Physical strength,[sound:daily_028.mp3]
daily_029,tired,nʉ̀ai,เหนื่อย,'tired',After gym,[sound:daily_029.mp3]
daily_030,very tired,nʉ̀ai mâak,เหนื่อยมาก,'tired' 'very',Common expression,[sound:daily_030.mp3]
daily_031,rest,pàk phɔ̌ɔn,พักผ่อน,'rest' 'relax',Recovery,[sound:daily_031.mp3]
daily_032,take a break,pàk gɔ̀ɔn,พักก่อน,'rest' 'first',Short break,[sound:daily_032.mp3]
daily_033,busy,yûng,ยุ่ง,'busy',General use,[sound:daily_033.mp3]
daily_034,i am busy,yûng yùu,ยุ่งอยู่,'busy' 'ongoing',Currently busy,[sound:daily_034.mp3]
daily_035,free (available),wâang,ว่าง,'free / empty',Opposite of busy,[sound:daily_035.mp3]
daily_036,i am free,wâang yùu,ว่างอยู่,'free' 'ongoing',Available now,[sound:daily_036.mp3]
daily_037,wait,rɔɔ,รอ,'wait',Useful everywhere,[sound:daily_037.mp3]
daily_038,wait a moment,rɔɔ nít nòi,รอนิดหน่อย,'wait' 'a little',Polite delay,[sound:daily_038.mp3]
daily_039,finished,sèt láew,เสร็จแล้ว,'finished' 'already',Completion marker,[sound:daily_039.mp3]
daily_040,not finished yet,yang mâi sèt,ยังไม่เสร็จ,'still' 'not' 'finished',Ongoing state,[sound:daily_040.mp3]
