id,english,romanized,thai,audio
glue_1,I,chǎn,ฉัน,[sound:glue_1.mp3]
glue_2,you (informal),khun,คุณ,[sound:glue_2.mp3]
glue_3,he / she,khǎo,เขา,[sound:glue_3.mp3]
glue_4,we,rao,เรา,[sound:glue_4.mp3]
glue_5,they,phûak khǎo,พวกเขา,[sound:glue_5.mp3]
glue_6,this,an níi,อันนี้,[sound:glue_6.mp3]
glue_7,that,an nán,อันนั้น,[sound:glue_7.mp3]
glue_8,here,thîi nîi,ที่นี่,[sound:glue_8.mp3]
glue_9,there,thîi nán,ที่นั่น,[sound:glue_9.mp3]
glue_10,go,pai,ไป,[sound:glue_10.mp3]
glue_11,come,maa,มา,[sound:glue_11.mp3]
glue_12,eat,gin,กิน,[sound:glue_12.mp3]
glue_13,want,yàak,อยาก,[sound:glue_13.mp3]
glue_14,have / there is,mii,มี,[sound:glue_14.mp3]
glue_15,not,mâi,ไม่,[sound:glue_15.mp3]
glue_16,yes (correct / yes),châi,ใช่,[sound:glue_16.mp3]
glue_17,no / is not,mâi châi,ไม่ใช่,[sound:glue_17.mp3]
glue_18,what,à-rai,อะไร,[sound:glue_18.mp3]
glue_19,where,thîi nǎi,ที่ไหน,[sound:glue_19.mp3]
glue_20,when,mʉ̂a-rai,เมื่อไร,[sound:glue_20.mp3]
glue_21,why,tham-mai,ทำไม,[sound:glue_21.mp3]
glue_22,how,yàang-rai,อย่างไร,[sound:glue_22.mp3]
glue_23,already,lɛ́ɛo,แล้ว,[sound:glue_23.mp3]
glue_24,still / still happening,yang,ยัง,[sound:glue_24.mp3]
glue_25,also,dûai,ด้วย,[sound:glue_25.mp3]
glue_26,can / able to,dâi,ได้,[sound:glue_26.mp3]
glue_27,cannot,mâi dâi,ไม่ได้,[sound:glue_27.mp3]
glue_28,must / need to,tɔ̂ng,ต้อง,[sound:glue_28.mp3]
glue_29,very,mâak,มาก,[sound:glue_29.mp3]
glue_30,a little,nít nòi,นิดหน่อย,[sound:glue_30.mp3]
