id,english,romanized,thai,literal,note,audio
emotion_001,happy,mii khwaam sùk,มีความสุข,'have' 'feeling' 'happiness',Common way to say happy,[sound:emotion_001.mp3]
emotion_002,very happy,mii khwaam sùk mâak,มีความสุขมาก,'have' 'happiness' 'very',Stronger version,[sound:emotion_002.mp3]
emotion_003,sad,sĭa-jai,เสียใจ,'lose' 'heart',Used for sadness,[sound:emotion_003.mp3]
emotion_004,angry,gròt,โกรธ,'angry',Direct emotion word,[sound:emotion_004.mp3]
emotion_005,very angry,gròt mâak,โกรธมาก,'angry' 'very',Stronger intensity,[sound:emotion_005.mp3]
emotion_006,stressed,kriat,เครียด,'stress',Loanword,[sound:emotion_006.mp3]
emotion_007,relaxed,sà-baai,สบาย,'comfortable',Also means comfortable,[sound:emotion_007.mp3]
emotion_008,excited,tʉ̀ʉn-tên,ตื่นเต้น,'wake up' 'jump',Feeling excited,[sound:emotion_008.mp3]
emotion_009,bored,bʉ̀a,เบื่อ,'bored',Very common,[sound:emotion_009.mp3]
emotion_010,tired,nʉ̀ai,เหนื่อย,'tired',Also in daily set,[sound:emotion_010.mp3]
emotion_011,lonely,wâng wáang,เหงา,'lonely',Feeling alone,[sound:emotion_011.mp3]
emotion_012,confused,ngong,งง,'confused',Very common slang-like word,[sound:emotion_012.mp3]
emotion_013,worried,pen hùang,เป็นห่วง,'be' 'concerned',Used for concern,[sound:emotion_013.mp3]
emotion_014,scared,glua,กลัว,'fear',General fear,[sound:emotion_014.mp3]
emotion_015,feel good,rʉ́ʉ-sʉ̀k dii,รู้สึกดี,'feel' 'good',General positive feeling,[sound:emotion_015.mp3]
emotion_016,feel bad,rʉ́ʉ-sʉ̀k mâi dii,รู้สึกไม่ดี,'feel' 'not good',General negative feeling,[sound:emotion_016.mp3]
emotion_017,i like it,chǎn chɔ̂ɔp,ฉันชอบ,'I' 'like',Very common,[sound:emotion_017.mp3]
emotion_018,i really like it,chǎn chɔ̂ɔp mâak,ฉันชอบมาก,'I' 'like' 'very',Stronger,[sound:emotion_018.mp3]
emotion_019,i love it,chǎn rák,ฉันรัก,'I' 'love',Used more seriously,[sound:emotion_019.mp3]
emotion_020,i don’t like it,chǎn mâi chɔ̂ɔp,ฉันไม่ชอบ,'I' 'not' 'like',Negation,[sound:emotion_020.mp3]
emotion_021,i hate it,chǎn glìat,ฉันเกลียด,'I' 'hate',Strong dislike,[sound:emotion_021.mp3]
emotion_022,it’s good,dii,ดี,'good',General positive,[sound:emotion_022.mp3]
emotion_023,it’s very good,dii mâak,ดีมาก,'good' 'very',Common phrase,[sound:emotion_023.mp3]
emotion_024,it’s bad,mâi dii,ไม่ดี,'not' 'good',General negative,[sound:emotion_024.mp3]
emotion_025,it’s interesting,nâa sǒn-jai,น่าสนใจ,'worthy' 'interest',Used often,[sound:emotion_025.mp3]
emotion_026,it’s fun,sà-nùk,สนุก,'fun',Very common Thai word,[sound:emotion_026.mp3]
emotion_027,it’s not fun,mâi sà-nùk,ไม่สนุก,'not' 'fun',Opposite,[sound:emotion_027.mp3]
emotion_028,it’s boring,mâi sà-nùk,ไม่สนุก,'not' 'fun',Same structure as above,[sound:emotion_028.mp3]
emotion_029,i think,chǎn khít wâa,ฉันคิดว่า,'I' 'think' 'that',Opinion starter,[sound:emotion_029.mp3]
emotion_030,in my opinion,sǎm-ràp chǎn,สำหรับฉัน,'for' 'me',Used to express opinion,[sound:emotion_030.mp3]
emotion_031,maybe,àat jà,อาจจะ,'might',Uncertainty,[sound:emotion_031.mp3]
emotion_032,probably,nâa jà,น่าจะ,'likely',Stronger than maybe,[sound:emotion_032.mp3]
emotion_033,of course,nâe-nawn,แน่นอน,'sure' '(emphasis)',Confident response,[sound:emotion_033.mp3]
emotion_034,not sure,mâi nɛ̂ɛ-jai,ไม่แน่ใจ,'not' 'sure' 'heart',Means unsure,[sound:emotion_034.mp3]
emotion_035,really?,jing reu,จริงหรือ,'true' 'or?',Used for surprise,[sound:emotion_035.mp3]
emotion_036,seriously?,jing jing,จริงๆ,'true true',Emphasis,[sound:emotion_036.mp3]
emotion_037,that’s right,châi,ใช่,'correct',Agreement,[sound:emotion_037.mp3]
emotion_038,that’s not right,mâi châi,ไม่ใช่,'not' 'correct',Disagreement,[sound:emotion_038.mp3]
emotion_039,up to you,laéw tae khun,แล้วแต่คุณ,'depends' 'you',Used for decisions,[sound:emotion_039.mp3]
emotion_040,it depends,laéw tae,แล้วแต่,'depends',General phrase,[sound:emotion_040.mp3]
