id,english,romanized,thai,literal,note,audio
directions_001,go,pai,ไป,'go',Basic movement verb,[sound:directions_001.mp3]
directions_002,come,maa,มา,'come',Movement toward speaker,[sound:directions_002.mp3]
directions_003,walk,dern,เดิน,'walk',General movement on foot,[sound:directions_003.mp3]
directions_004,turn,liao,เลี้ยว,'turn',Used with left/right,[sound:directions_004.mp3]
directions_005,left,sǎai,ซ้าย,'left',Direction,[sound:directions_005.mp3]
directions_006,right,khwǎa,ขวา,'right',Direction,[sound:directions_006.mp3]
directions_007,straight,trong,ตรง,'straight / direct',Used for going straight,[sound:directions_007.mp3]
directions_008,stop,yùt,หยุด,'stop',Useful for taxis,[sound:directions_008.mp3]
directions_009,slow down,châa nòi,ช้าหน่อย,'slow' 'a bit',Useful in transport,[sound:directions_009.mp3]
directions_010,here,thîi nîi,ที่นี่,'place' 'this',Indicates current location,[sound:directions_010.mp3]
directions_011,there,thîi nán,ที่นั่น,'place' 'that',Indicates distant place,[sound:directions_011.mp3]
directions_012,near,glài,ใกล้,'near',Distance descriptor,[sound:directions_012.mp3]
directions_013,far,glai,ไกล,'far',Distance descriptor,[sound:directions_013.mp3]
directions_014,where is...,yùu thîi nǎi,อยู่ที่ไหน,'be located' 'place' 'where',Used to ask for location,[sound:directions_014.mp3]
directions_015,is it far,mǎi glai mái,ไม่ไกลไหม,'not' 'far' 'question',Used to check distance,[sound:directions_015.mp3]
directions_016,go straight,pai trong,ไปตรง,'go' 'straight',Common instruction,[sound:directions_016.mp3]
directions_017,turn left,liao sǎai,เลี้ยวซ้าย,'turn' 'left',Instruction,[sound:directions_017.mp3]
directions_018,turn right,liao khwǎa,เลี้ยวขวา,'turn' 'right',Instruction,[sound:directions_018.mp3]
directions_019,go back,glàp,กลับ,'return / go back',Reverse direction,[sound:directions_019.mp3]
directions_020,arrive,thʉ̌ng,ถึง,'arrive / reach',Used for reaching destination,[sound:directions_020.mp3]
directions_021,i arrived,lɛ́ɛo thʉ̌ng,แล้วถึง,'already' 'arrive',Completion marker,[sound:directions_021.mp3]
directions_022,taxi,ták-sii,แท็กซี่,'taxi',Loanword,[sound:directions_022.mp3]
directions_023,train,rot-fai,รถไฟ,'vehicle' 'fire',Train,[sound:directions_023.mp3]
directions_024,bts skytrain,rot-fai fáa,รถไฟฟ้า,'vehicle' 'fire' 'electric',Bangkok skytrain,[sound:directions_024.mp3]
directions_025,mrt subway,rot-fai tai-din,รถไฟใต้ดิน,'vehicle' 'fire' 'under ground',Subway,[sound:directions_025.mp3]
directions_026,motorbike taxi,win mɔɔ-sai,วินมอเตอร์ไซค์,'station' 'motorbike',Common short-distance transport,[sound:directions_026.mp3]
directions_027,car,rot,รถ,'vehicle',General transport word,[sound:directions_027.mp3]
directions_028,road / street,thanon,ถนน,'road',Important for addresses,[sound:directions_028.mp3]
directions_029,soi (side street),soi,ซอย,'side street',Very common in Bangkok,[sound:directions_029.mp3]
directions_030,traffic,rot tìt,รถติด,'vehicle' 'stuck',Means traffic jam,[sound:directions_030.mp3]
