id,english,romanized,thai,literal,note
emotion_001,happy,mii khwaam sùk,มีความสุข,"'have' 'feeling' 'happiness'","Common way to say happy"
emotion_002,very happy,mii khwaam sùk mâak,มีความสุขมาก,"'have' 'happiness' 'very'","Stronger version"
emotion_003,sad,sĭa-jai,เสียใจ,"'lose' 'heart'","Used for sadness"
emotion_004,angry,gròt,โกรธ,"'angry'","Direct emotion word"
emotion_005,very angry,gròt mâak,โกรธมาก,"'angry' 'very'","Stronger intensity"
emotion_006,stressed,kriat,เครียด,"'stress'","Loanword"
emotion_007,relaxed,sà-baai,สบาย,"'comfortable'","Also means comfortable"
emotion_008,excited,tùuen-tên,ตื่นเต้น,"'wake up' 'jump'","Feeling excited"
emotion_009,bored,bùea,เบื่อ,"'bored'","Very common"
emotion_010,tired,nùeai,เหนื่อย,"'tired'","Also in daily set"
emotion_011,lonely,wâng wáang,เหงา,"'lonely'","Feeling alone"
emotion_012,confused,ngong,งง,"'confused'","Very common slang-like word"
emotion_013,worried,pen hùang,เป็นห่วง,"'be' 'concerned'","Used for concern"
emotion_014,scared,glua,กลัว,"'fear'","General fear"
emotion_015,feel good,rúe-sùek dii,รู้สึกดี,"'feel' 'good'","General positive feeling"
emotion_016,feel bad,rúe-sùek mâi dii,รู้สึกไม่ดี,"'feel' 'not good'","General negative feeling"
emotion_017,i like it,chǎn châwp,ฉันชอบ,"'I' 'like'","Very common"
emotion_018,i really like it,chǎn châwp mâak,ฉันชอบมาก,"'I' 'like' 'very'","Stronger"
emotion_019,i love it,chǎn rák,ฉันรัก,"'I' 'love'","Used more seriously"
emotion_020,i don’t like it,chǎn mâi châwp,ฉันไม่ชอบ,"'I' 'not' 'like'","Negation"
emotion_021,i hate it,chǎn glìat,ฉันเกลียด,"'I' 'hate'","Strong dislike"
emotion_022,it’s good,dii,ดี,"'good'","General positive"
emotion_023,it’s very good,dii mâak,ดีมาก,"'good' 'very'","Common phrase"
emotion_024,it’s bad,mâi dii,ไม่ดี,"'not' 'good'","General negative"
emotion_025,it’s interesting,nâa sǒn-jai,น่าสนใจ,"'worthy' 'interest'","Used often"
emotion_026,it’s fun,sà-nùk,สนุก,"'fun'","Very common Thai word"
emotion_027,it’s not fun,mâi sà-nùk,ไม่สนุก,"'not' 'fun'","Opposite"
emotion_028,it’s boring,mâi sà-nùk,ไม่สนุก,"'not' 'fun'","Same structure as above"
emotion_029,i think,chǎn khít wâa,ฉันคิดว่า,"'I' 'think' 'that'","Opinion starter"
emotion_030,in my opinion,sǎm-ràp chǎn,สำหรับฉัน,"'for' 'me'","Used to express opinion"
emotion_031,maybe,àat jà,อาจจะ,"'might'","Uncertainty"
emotion_032,probably,nâa jà,น่าจะ,"'likely'","Stronger than maybe"
emotion_033,of course,nâe-nawn,แน่นอน,"'sure' '(emphasis)'","Confident response"
emotion_034,not sure,mâi nâe-jai,ไม่แน่ใจ,"'not' 'sure' 'heart'","Means unsure"
emotion_035,really?,jing reu,จริงหรือ,"'true' 'or?'","Used for surprise"
emotion_036,seriously?,jing jing,จริงๆ,"'true true'","Emphasis"
emotion_037,that’s right,châi,ใช่,"'correct'","Agreement"
emotion_038,that’s not right,mâi châi,ไม่ใช่,"'not' 'correct'","Disagreement"
emotion_039,up to you,laéw tae khun,แล้วแต่คุณ,"'depends' 'you'","Used for decisions"
emotion_040,it depends,laéw tae,แล้วแต่,"'depends'","General phrase"
